algorithm,Precision@K,Recall@K,HitRate@K,NDCG@K,users_evaluated,eval_time_sec
CrossDomain-Sim,0.006600660066006601,0.007176064075240873,0.0594059405940594,0.008583397952402814,606,2.1
CrossDomain-Random,0.003960396039603961,0.0029838160792622003,0.036303630363036306,0.004799459126767125,606,1.8
ContentBased(单域参照),0.03217821782178218,0.04040322555563333,0.2706270627062706,0.04159905594283495,606,0.0
