Precision@K,Recall@K,HitRate@K,NDCG@K,Coverage,users_evaluated,eval_time_sec,domain,algorithm,fit_time_sec
0.020200000000000003,0.07681072903704483,0.153,0.06216758296392484,0.37633461750137587,1000,0.2,books,UserCF,0.7
0.016800000000000006,0.0632763712594595,0.124,0.05046727231805205,0.36092460099064394,1000,0.2,books,ItemCF,1.1
0.0216,0.09486232517482518,0.176,0.06285062041095028,0.3926252063841497,1000,2.1,books,ContentBased,2.1
0.0050999999999999995,0.020425129445717678,0.049,0.012460784745422747,0.0018712162905888828,1000,0.1,books,MostPopular,0.1
0.20297029702970298,0.19960299716020521,0.7211221122112211,0.2778031012289301,0.08602739726027397,606,0.1,movies,UserCF,0.1
0.17376237623762375,0.17501571990589204,0.693069306930693,0.23698512410132203,0.15205479452054796,606,0.4,movies,ItemCF,0.6
0.03217821782178218,0.04040322555563333,0.2706270627062706,0.04159905594283495,0.27013698630136984,606,0.8,movies,ContentBased,0.8
0.11996699669966995,0.10663627185388974,0.5379537953795379,0.16410100849988937,0.015616438356164384,606,0.0,movies,MostPopular,0.0
0.06480000000000001,0.14598849206349207,0.479,0.13181850564071426,0.24580498866213152,1000,0.1,courses,UserCF,0.2
0.07740000000000001,0.1745845238095238,0.552,0.1591778099229897,0.07891156462585033,1000,0.1,courses,ItemCF,0.2
0.0065,0.014955952380952379,0.063,0.009519391854668796,0.14829931972789115,1000,1.0,courses,ContentBased,1.0
0.0357,0.0803047619047619,0.309,0.06318343288735373,0.007709750566893424,1000,0.1,courses,MostPopular,0.1
