algorithm,Precision@K,Recall@K,HitRate@K,NDCG@K,Coverage,users_evaluated,eval_time_sec
UserCF,0.0199,0.07194528778178803,0.144,0.05865755122562912,0.3692900385250413,1000,0.1
ItemCF,0.013800000000000002,0.05104094301085728,0.106,0.04262735619643716,0.3686296092460099,1000,0.1
ContentBased,0.0204,0.0835412753599036,0.163,0.05605285276830467,0.39097413318657126,1000,1.2
MostPopular,0.0056,0.025393391330891333,0.054,0.015068490274972726,0.0017611447440836544,1000,0.1
